iteration,total_loss,policy_loss,value_loss,buffer_size,games_played,time_selfplay,time_training
1,3.899506206865664,3.7901708549923367,0.109335354903,1818,20,675.5807428359985,30.960483074188232
2,3.206303880214691,3.1953596663475037,0.010944223852129653,3788,20,701.8391718864441,35.496137857437134
3,2.8590488190553627,2.847819822175162,0.01122899747285689,5538,20,672.8812000751495,39.42033886909485
4,2.7024569058418275,2.699353723526001,0.003103186969337912,7166,20,695.0570862293243,45.111106872558594
5,2.655043330966917,2.6359695308228845,0.01907380217175486,8917,20,922.173269033432,66.00936913490295
6,2.6002069908438377,2.5938810908678667,0.0063259020717692,10367,20,1005.8013560771942,56.968599796295166
1,3.9391354663031444,3.8719144139971053,0.06722103424320625,1608,20,241.72732591629028,10.389027118682861
2,3.6571436304795113,3.6101129964778296,0.04703063032714956,3169,20,220.26675510406494,13.979087829589844
1,3.805784903821491,3.7302759091059365,0.07550900839132305,1871,20,300.36920404434204,21.270076751708984
2,3.489958740944086,3.4316248450168345,0.05833389127131573,3600,20,258.2317249774933,16.84508204460144
1,3.8712154792833933,3.7801065475125855,0.09110894604568381,1786,20,257.4840729236603,14.749274253845215
